Nome,Endereço,Latitude,Longitude,Categoria
Corpo N Água,SDN Lote Único  s 2121,-15.7907305,-47.8844109,Compras
Zara Brasil,SDN Lote Único  lj C02,-15.7907305,-47.8844109,Compras
H Stern,SDN Lote Único  cj A lj T108,-15.7907305,-47.8844109,Compras
Leitura,Centro Comercial Conjunto Nacional,-15.7914489,-47.8831873,Compras
First Class,CC Boulevard,-15.7560551,-47.8958559,Compras
Mercados Framelia,CLS 113 BL B  lj 4,-15.82726,-47.9186287,Compras
Amor Próprio,CC Boulevard,-15.7560551,-47.8958559,Compras
Maison Ana Paula,"SHIS QI 05 Bloco D, 1-2",-15.8467242,-47.8933263,Compras
Brotinho Couros,CLS 310 BL B  lj 26/30,-15.8197098,-47.9119301,Compras
Aymoré Couros,CRS 511 BL B  lj 27,-15.8190804,-47.9143906,Compras
Leitura,Via W3 Sul 1758-1796,-15.7959422204317,-47.8919404878104,Compras
Lojas Renner,"SAI SO, 6580",-15.8332511817178,-47.9562211320933,Compras
Ventura Souto,"CLSW, 302",-15.8013169,-47.9255098,Compras
Saraiva,CC Patio Brasil,-15.7967476254407,-47.8916772608882,Compras
Usadão Brasília,CLN 312 BL C  lj 23,-15.7502003,-47.8928719,Compras
Dom Pedro Discos,"412 Norte Bloco C, 20",-15.7405643,-47.8881597,Compras
Foco Papelaria e Livraria,CLS 204 BL A  lj 10,-15.8096104,-47.8899689,Compras
2 Tempos Confecções,CLS 305 BL A  lj 27,-15.8080797,-47.8966408,Compras
Constance,CC Boulevard,-15.8078949258512,-47.8971364349127,Compras
Kingdom Camisetas,"CLN 108 Bloco D, 28",-15.7650183,-47.8863541,Compras
Constance,"SCLN 313 Bloco E, 64",-15.7502607,-47.8938086,Compras
Daslu,CC Park Shopping,-15.8335293,-47.9552629,Compras
Leitura,SCES Trecho 02 Conjunto 32,-15.8184178030075,-47.8742529570036,Compras
Feira do Setor Comercial Sul,"SCS, quadra 2, 3 e 4",-15.7980683974771,-47.8875689952758,Compras
BIG BOX Supermercados,SHC/S EQ 412/413 - Bloco A,-15.8319244,-47.910975,Compras
Supermaia Supermercado,SHCES Q 1101  lt 8,-15.7993402,-47.9384804,Compras
Carrefour,SOFN Q 1  ae 1,-15.7835998535156,-47.880500793457,Compras
Enfance,CLN 403 BL A,-15.7800598,-47.8766098,Compras
Musa BSB,"CLN, 313",-15.7500962,-47.8934223,Compras
Educação e Cia,CC Boulevard,-15.7560551,-47.8958559,Compras
Viaduct Moda e Acessórios,CLN 112 BL B  lj 72,-15.7525702,-47.8894806,Compras
Arezzo Outlet,"CLS 206 Bl. C, 02",-15.8144703,-47.8947182,Compras
Umidade Relativa,CLN 108 BL A  lj 12,-15.7648697,-47.8850288,Compras
Los Rockers,"Setor de Clubes Esportivos Sul (SCES) Trecho, 02",-15.8186985,-47.8552866,Compras
Brasília Shopping,"SCN, 5",-15.7866814040579,-47.8890869292254,Compras
Pisa Leve,CLSW 303 BL A,-15.8006001,-47.9253006,Compras
Saara,QNG Mercado Norte Setor  01 Loja 11,-15.8107481,-48.065751,Compras
Nanda manu,"Sul, 206",-15.783406,-47.899899,Compras
Cotidiano Livraria de Conveniência,CLS 201 BL C  lj 15,-15.8051596,-47.8844986,Compras
312 Frutas,CLN 312,-15.7504035,-47.8929873,Compras
Viva Farma,SCLS 307,-15.8120554788798,-47.9027064500241,Compras
Livraria Leitura,"Shc / Aos 02/08, Lote 05 - Lojas 244 e 248 -Terraço Shopping",-15.7950174,-47.9267674,Compras
Outer,"BSCN Qd, 05",-15.786767,-47.8889043,Compras
Sapato da Corte,CLS 308 BL A  lj 6,-15.8161802,-47.90625,Compras
Sacolão Saheki,"CLN 314 Bl. E, 20-34",-15.7502607,-47.8938086,Compras
Shopping Fashion Mall,"EQS, 302-303",-15.8024502,-47.8934402,Compras
Guida Boutique,CLN 303 BL C  lj 12,-15.7807102,-47.8852692,Compras
Borogodó - ideias para brincar,"CLSW 303 bloco C,  46",-15.8010845,-47.9266087,Compras
Mix UNB,"Universidade de Brasília, Área 1",-15.7648747,-47.87067,Compras
Bela Biju,"CLS 103 Bloco C, 22",-15.8023534,-47.8917798,Compras
Pátio Brasil Shopping,"SCS Quadra, 7",-15.7960445458673,-47.8919770289638,Compras
Hat Shop,206 Sul Bloco B Loja 38,-15.816562,-47.8954696,Compras
Dular,"Av. das Araucárias - Ed. Turmalina, 1605",-15.7941454,-47.8825479,Compras
Bella Brasília,CLN 214 bl. D,-15.7445583308244,-47.8866114872803,Compras
Petit,CC Iguatemi,-15.7193899,-47.8852534,Compras
Muv Shoes,"SDN CNB Conjunto A, T119",-15.7941454,-47.8825479,Compras
Cope Espaço Cultural,CLN 409,-15.759507,-47.8796549,Compras
Livraria Hildebrando,"UNB Fé 5, s/n Fr, 5",-15.84933,-47.95214,Compras
TACO,"SDN CNB Conjunto A, T119",-15.7914489,-47.8831873,Compras
Shopping Risk,"QNE, 1 Lt 3",-15.817092,-48.062944,Compras
Riachuelo,"SAI SO, 6580",-15.8035278,-47.9737103,Compras
Mylla Calçados,"SDN Conjunto A Conjunto Nacional, 39",-15.7941454,-47.8825479,Compras
Loggia Comércio Calçados,CLS 215 BL B  lj 17,-15.8348103,-47.9212189,Compras
Santíssima Multimarcas,"CCSW, 3",-15.80128,-47.9218216,Compras
Casa Montiel,"CLSW 102, Bloco B, Lojs 04",-15.800698,-47.9225351,Compras
Calceperfeito,CLS 302 BL A  bl A lj 34,-15.8011999,-47.8905106,Compras
Balcão de Concursos,CLN 203 BL C  lj 17,-15.7769299,-47.8782692,Compras
C & A Modas,STN  cj J lj T1,-15.7368202,-47.9073181,Compras
Corello,SDN Lote Único  cj A lj 2108 lj 2109,-15.7907305,-47.8844109,Compras
Endossa,"CLS 306 Bloco A,  30-34",-15.7946504,-47.8933064,Compras
Ávida,"SCN Q 5 BL A, 84",-15.7869068,-47.8892151,Compras
Flor de Pitanga Comércio de Acessorios Femininos,CLN 403 BL A  lj 05,-15.7800598,-47.8766098,Compras
Atacadão,STN Conjunto H,-15.7350848,-47.9027851,Compras
Summer Shop Comércio de Roupas,CLN 403 BL C  lj 11,-15.7800198,-47.8757706,Compras
Trilha,"SHCL 409 Bloco D, 63",-15.6557665,-47.6513519,Compras
Vertical Esportes,Sia Trecho 7 Lote 100,-15.7983103,-47.946331,Compras
Crocs,"SCLS, 410",-15.8268977,-47.9191361,Compras
Mayara Milfont,"SEPS, 707-907 Ed. San Marino Sala 224",-15.8160142,-47.9158182,Compras
Thaíza Francischini,"CLN 115 Bl C,19",-15.7941454,-47.8825479,Compras
Siberian,SAI SO 6580  qd 1,-15.8219995498657,-47.9854011535645,Compras
Ceasa,SIA TR 10  lt 5,-15.7904902,-47.9436913,Compras
Fnac,CC ParkShopping,-15.83275,-47.955925,Compras
Studio 35,CLS 314 BL A  lj 16,-15.8278704,-47.9223785,Compras
Luart Calçados,CC Conjunto Nacional,-15.7941454,-47.8825479,Compras
BIG BOX Supermercados,SHC/S CR QD 503 - BL C - loja 70,-15.8038731,-47.8959904,Compras
Unicom Shopping da Saúde,CLS 302-A BL B  lj 01,-15.8009501,-47.8908882,Compras
Manotropo,SCN Q 2 BL D  tér 255,-15.7843304,-47.8898201,Compras
Livraria Leitura,CC Boulevard,-15.7359669,-47.9053514,Compras
Garbo,SDN Lote Único  lj 135,-15.7907305,-47.8844109,Compras
Mormaii,SHIS QL 10  lt 1/33,-15.8385201,-47.8848686,Compras
2 Tempos Confecções,CLS 202 BL B  lj 12,-15.8045902,-47.8852692,Compras
Carrefour,STN  lt j,-15.7368202,-47.9073181,Compras
Carrefour Bairro,EQN 504-505,-15.7747710201872,-47.8875798904096,Compras
Joge,SCS Q 7 BL A  lj 239T,-15.79632,-47.8858414,Compras
Hipermercado Extra,SIA TR 12  lt 12,-15.7943567704728,-47.9466622859474,Compras
Caché,CC Liberty Mall,-15.7941454,-47.8825479,Compras
Ciatoy Brinquedos,"SAI SO, 6580",-15.7941454,-47.8825479,Compras
Big Box,SHC/N Eq. 402/403 Bl. A,-15.7798428149373,-47.8744782628574,Compras
Kigraça,SCLS 205,-15.815957,-47.904382,Compras
Super Maia Supermercado,SAAN Q 5,-15.7841702,-47.8773918,Compras
Vila Kids,"Cln 109, Bloco A, 34",-15.7592566,-47.8881836,Compras
Feira Cultural De Artesanato Do Sudoeste,"Clsw 104 Av., 1",-15.8038101,-47.9291191,Compras
Armarinho São Paulo,"SHCS, Qd 512",-15.820831,-47.917533,Compras
Lojas Americanas,SCS Q 7  bl A3,-15.79632,-47.8858414,Compras
Lojas Americanas,"SEPN 506 Bloco A, 15",-15.77038,-47.8883896,Compras
Barred's,SCN Q 5 BL A  lj 86,-15.7835998535156,-47.880500793457,Compras
Oba Hortifruti,"SHIS QI, 9",-15.848089,-47.8455788,Compras
WA Embalagens,"SIA SUL Trecho 10 Lote 5 Lojas 10, 14 e 20",-15.8030609,-47.9510169,Compras
Saraiva,"SAI/SO área, 6580",-15.8035278,-47.9737103,Compras
ToolBox,Sgcv Lt 12/22 Ae,-15.8267251507129,-47.9534180124419,Compras
A Loja das Camisetas Legais,"CLN 112 Bloco C, 28",-15.7524434,-47.8900233,Compras
Gomes e Oliveira,"CLN 204 Bloco D, 47",-15.7736399,-47.8860751,Compras
Casa do Colegial,SCRN 706/707 BL E  lj 42,-15.76968,-47.8917618,Compras
Gira Mundo,Av. das Araucárias Q 205 lt 01,-15.8317842,-48.0451847,Compras
Gregory,SDN Lote Único  lj 2071,-15.7907305,-47.8844109,Compras
Pão de Açúcar,SHIS QI 5 BL F  lj 304,-15.8357296,-47.86763,Compras
Stilo Chic,QND 5  lt 40,-15.8167639,-48.0612907,Compras
Papelaria Lia,CLN 116 BL D  lj 66,-15.7404203,-47.8943787,Compras
Toda Diva Moda Esmalteria,CLS 111,-15.823537653084,-47.9129155352712,Compras
Methamorfose,"Shopping Conjunto Nacional 2º PISO, Loja 2134",-15.7941454,-47.8825479,Compras
Sam's Club,"SIA, Tr. 16, Lt. 5, Bl. B",-15.7887267061897,-47.9452502677267,Compras
No Limits Sportwear,"CLS 106, Bloco C, 11",-15.8109499,-47.8984633,Compras
Pão de Açúcar,"EQN 404-405, s/n",-15.773015,-47.8753095,Compras
Mercearia Cavalcante,Av. Central  lt 294 lj 1,-15.8732796,-47.9739914,Compras
Diana Baby Comércio e Representação e Acessórios,CNB 8  lt 8 lj 1,-15.8250713,-48.0602188,Compras
Venda dos Velhinhos,"QE ,15",-15.829502551563,-47.9777606204152,Compras
Supermercado Dona de Casa,"R., 7",-15.8365547,-48.0135253,Compras
A Cara Do Pai,CC Sushiloko,-15.8465996,-47.8949203,Compras
Hipermercado Extra,STN  lt A,-15.7368202,-47.9073181,Compras
Da Terra Hortomercado,"Qi, 19",-15.8321137,-47.8745796,Compras
Banca Cultural 108 Sul,SQS 108,-15.8156605,-47.9039383,Compras
Cristal presentes,"CLN 203 Bloco A, 80",-15.777229,-47.878978,Compras
Livraria Dom Quixote,"SCES Trecho 2, Lote 22",-15.8194103,-47.8398018,Compras
Timbó,"CLN 112 Bl. D, 16",-15.7525896,-47.8903323,Compras
Aloha Eyewear,"SDN Conjunto A Conjunto Nacional, 2",-15.7941454,-47.8825479,Compras
Ávida,SHIS QI 5 Bloco E Loja 16 Centro Comercial Gilberto Salomão,-15.8460461048372,-47.8948495695557,Compras
Big Box Supermercado,CLN 106 BL D  lj 8,-15.7712097,-47.8846588,Compras
Etiqueta Negra,CC Iguatemi,-15.7193899,-47.8852534,Compras
